# ModernIME pinyin knowledge v1
# phrase<TAB>full_pinyin<TAB>frequency<TAB>category<TAB>abbreviation<TAB>source
阿坝	a'ba	4276	place	ab	thuocl-place
阿巴拉契亚山	a'ba'la'qi'ya'shan	19	place	ablqys	thuocl-place
阿巴索夫	a'ba'suo'fu	42	place	absf	thuocl-place
阿坝州	a'ba'zhou	3839	place	abz	thuocl-place
阿宝	a'bao	885	person	ab	thuocl-person
阿贝格	a'bei'ge	5	person	abg	thuocl-person
阿苯达唑	a'ben'da'zuo	11	medical	abdz	thuocl-medical
阿苯达唑片	a'ben'da'zuo'pian	17	medical	abdzp	thuocl-medical
阿鼻地狱	a'bi'di'yu	100	idiom	abdy	china-idiom
阿扁	a'bian	1279	person	ab	thuocl-person
阿波	a'bo	193	person	ab	thuocl-person
阿伯丁郡	a'bo'ding'jun	60	place	abdj	thuocl-place
阿卜杜尔	a'bo'du'er	196	person	abde	thuocl-person
阿波罗	a'bo'luo	2718	finance	abl	thuocl-finance
阿不都克里木	a'bu'dou'ke'li'mu	75	place	abdklm	thuocl-place
阿部规秀	a'bu'gui'xiu	48	person	abgx	thuocl-person
阿部宽	a'bu'kuan	7	person	abk	thuocl-person
阿昌族	a'chang'zu	131	place	acz	thuocl-place
阿辰	a'chen	6	person	ac	thuocl-person
阿城市	a'cheng'shi	83	place	acs	thuocl-place
阿城县	a'cheng'xian	22	place	acx	thuocl-place
阿初	a'chu	16	person	ac	thuocl-person
阿道夫	a'dao'fu	616	person	adf	thuocl-person
阿德福韦酯	a'de'fu'wei'zhi	61	medical	adfwz	thuocl-medical
阿德福韦酯胶囊	a'de'fu'wei'zhi'jiao'nang	7	medical	adfwzjn	thuocl-medical
阿德福韦酯片	a'de'fu'wei'zhi'pian	7	medical	adfwzp	thuocl-medical
阿德米尔	a'de'mi'er	15	person	adme	thuocl-person
阿杜	a'du	309	person	ad	thuocl-person
阿朵	a'duo	3309	person	ad	thuocl-person
阿多乡	a'duo'xiang	24	place	adx	thuocl-place
阿尔巴	a'er'ba	196	person	aeb	thuocl-person
阿尔卑斯	a'er'bei'si	1035	place	aebs	thuocl-place
阿尔卑斯山	a'er'bei'si'shan	1386	place	aebss	thuocl-place
阿尔贝特	a'er'bei'te	319	person	aebt	thuocl-person
阿尔贝托	a'er'bei'tuo	373	person	aebt	thuocl-person
阿尔本格勒镇	a'er'ben'ge'lei'zhen	8	place	aebglz	thuocl-place
阿尔宾娜	a'er'bin'na	122	car	aebn	thuocl-car
阿尔伯特公园赛道	a'er'bo'te'gong'yuan'sai'dao	1143	car	aebtgysd	thuocl-car
阿尔茨海默病	a'er'ci'hai'mo'bing	409	medical	aechmb	thuocl-medical
阿尔法罗密欧	a'er'fa'luo'mi'ou	1203	car	aeflmo	thuocl-car
阿尔弗雷德	a'er'fu'lei'de	594	person	aefld	thuocl-person
阿尔弗雷多	a'er'fu'lei'duo	507	person	aefld	thuocl-person
阿尔及尔	a'er'ji'er	898	place	aeje	thuocl-place
阿尔金山	a'er'jin'shan	381	place	aejs	thuocl-place
阿尔卡	a'er'ka	15	place	aek	thuocl-place
阿尔山	a'er'shan	686	place	aes	thuocl-place
阿尔山市	a'er'shan'shi	410	place	aess	thuocl-place
阿尔泰山	a'er'tai'shan	412	place	aets	thuocl-place
阿伐斯汀	a'fa'si'ting	54	medical	afst	thuocl-medical
阿凡提的故事	a'fan'ti'de'gu'shi	21	place	aftdgs	thuocl-place
阿房四路	a'fang'si'lu	18	place	afsl	thuocl-place
阿富汗	a'fu'han	54219	place	afh	thuocl-place
阿富汗猎狗	a'fu'han'lie'gou	17	animal	afhlg	thuocl-animal
阿根廷杜高犬	a'gen'ting'du'gao'quan	37	animal	agtdgq	thuocl-animal
阿狗阿猫	a'gou'a'mao	100	idiom	agam	china-idiom
阿姑阿翁	a'gu'a'weng	100	idiom	agaw	china-idiom
阿古柏	a'gu'bai	35	place	agb	thuocl-place
阿骨打	a'gu'da	8	person	agd	thuocl-person
阿怪	a'guai	10	person	ag	thuocl-person
阿桂	a'gui	89	person	ag	thuocl-person
阿河	a'he	11	place	ah	thuocl-place
阿合买提江	a'he'mai'ti'jiang	49	place	ahmtj	thuocl-place
阿合奇	a'he'qi	130	place	ahq	thuocl-place
阿洪口	a'hong'kou	33	place	ahk	thuocl-place
阿洪鲁库木乡	a'hong'lu'ku'mu'xiang	6	place	ahlkmx	thuocl-place
